n,cum_gain_revenue,profit,profit_per_contact
447,162.37344242840635,26.362032728521903,0.058975464717051236
448,162.37344242840635,26.312032728521903,0.05873221591187925
449,162.37344242840635,26.262032728521902,0.05849005062031604
450,162.37344242840635,26.212032728521905,0.05824896161893756
451,162.37344242840635,26.162032728521904,0.0580089417483856
452,162.37344242840635,26.112032728521903,0.05776998391265908
453,162.37344242840635,26.062032728521903,0.057532081078414794
454,162.37344242840635,26.012032728521902,0.057295226274277314
455,162.37344242840635,25.962032728521905,0.05705941259015803
456,162.37344242840635,25.912032728521904,0.05682463317658312
457,162.37344242840635,25.862032728521903,0.05659088124403042
458,162.37344242840635,25.812032728521903,0.056358150062274896
459,162.37344242840635,25.762032728521902,0.056126432959742706
460,162.37344242840635,25.712032728521905,0.05589572332287371
461,162.37344242840635,25.662032728521904,0.0556660145954922
462,162.37344242840635,25.612032728521903,0.05543730027818594
463,162.37344242840635,25.562032728521903,0.055209573927693094
464,162.37344242840635,25.512032728521902,0.0549828291562972
465,162.37344242840635,25.462032728521905,0.054757059631229905
466,162.37344242840635,25.412032728521904,0.05453225907408134
467,162.37344242840635,25.362032728521903,0.05430842126021821
468,162.37344242840635,25.312032728521903,0.05408554001820919
469,162.37344242840635,25.262032728521902,0.053863609229257786
470,162.37344242840635,25.212032728521905,0.05364262282664235
471,162.37344242840635,25.162032728521904,0.053422574795163276
472,162.37344242840635,25.112032728521903,0.05320345917059725
473,162.37344242840635,25.062032728521903,0.05298527003915836
474,162.37344242840635,25.012032728521902,0.052768001536966036
475,162.37344242840635,24.962032728521905,0.0525516478495198
476,162.37344242840635,24.912032728521904,0.052336203211180474
477,162.37344242840635,24.862032728521903,0.05212166190465808
478,162.37344242840635,24.812032728521903,0.051908018260506075
479,162.37344242840635,24.762032728521902,0.05169526665662193
480,162.37344242840635,24.712032728521905,0.05148340151775397
481,162.37344242840635,24.662032728521904,0.051272417315014356
482,162.37344242840635,24.612032728521903,0.05106230856539814
483,162.37344242840635,24.562032728521903,0.05085306983130829
484,162.37344242840635,24.512032728521902,0.05064469572008658
485,162.37344242840635,24.462032728521905,0.05043718088355032
486,162.37344242840635,24.412032728521904,0.05023052001753478
487,162.37344242840635,24.362032728521903,0.05002470786144128
488,162.37344242840635,24.312032728521903,0.049819739197790786
489,162.37344242840635,24.262032728521902,0.04961560885178303
490,162.37344242840635,24.212032728521905,0.04941231169086103
491,162.37344242840635,24.162032728521904,0.04920984262428087
492,162.37344242840635,24.112032728521903,0.04900819660268679
493,162.37344242840635,24.062032728521903,0.048807368617691485
494,162.37344242840635,24.012032728521902,0.04860735370146134
495,162.37344242840635,23.962032728521905,0.04840814692630688
496,162.37344242840635,23.912032728521904,0.048209743404278034
497,162.37344242840635,23.862032728521903,0.04801213828676439
498,162.37344242840635,23.812032728521903,0.047815326764100205
499,162.37344242840635,23.762032728521902,0.04761930406517415
500,162.37344242840635,23.712032728521905,0.04742406545704381
501,162.37344242840635,23.662032728521904,0.047229606244554696
502,162.37344242840635,23.612032728521903,0.04703592176996395
503,162.37344242840635,23.562032728521903,0.046843007412568395
504,162.37344242840635,23.512032728521902,0.046650858588337105
505,162.37344242840635,23.462032728521905,0.04645947074954833
506,162.37344242840635,23.412032728521904,0.04626883938443064
507,162.37344242840635,23.362032728521903,0.04607896001680849
508,162.37344242840635,23.312032728521903,0.04588982820575178
509,162.37344242840635,23.262032728521902,0.04570143954522967
510,162.37344242840635,23.212032728521905,0.04551378966376844
511,162.37344242840635,23.162032728521904,0.045326874224113314
512,162.37344242840635,23.112032728521903,0.04514068892289434
513,162.37344242840635,23.062032728521903,0.04495522949029611
514,162.37344242840635,23.012032728521902,0.04477049168973133
515,162.37344242840635,22.962032728521905,0.044586471317518264
516,162.37344242840635,22.912032728521904,0.04440316420256183
517,162.37344242840635,22.862032728521903,0.044220566206038495
518,162.37344242840635,22.812032728521903,0.044038673221084755
519,162.37344242840635,22.762032728521902,0.043857481172489214
520,162.37344242840635,22.712032728521905,0.04367698601638828
521,162.37344242840635,22.662032728521904,0.043497183739965264
522,162.37344242840635,22.612032728521903,0.04331807036115307
523,162.37344242840635,22.562032728521903,0.04313964192834016
524,162.37344242840635,22.512032728521902,0.042961894520079966
525,162.37344242840635,22.462032728521905,0.04278482424480363
526,162.37344242840635,22.412032728521904,0.04260842724053594
527,162.37344242840635,22.362032728521903,0.04243269967461462
528,162.37344242840635,22.312032728521903,0.04225763774341269
529,162.37344242840635,22.262032728521902,0.04208323767206409
530,162.37344242840635,22.212032728521905,0.04190949571419227
531,162.37344242840635,22.162032728521904,0.04173640815164201
532,162.37344242840635,22.112032728521903,0.0415639712942141
533,162.37344242840635,22.062032728521903,0.0413921814794032
534,162.37344242840635,22.012032728521902,0.041221035072138396
535,162.37344242840635,21.962032728521905,0.04105052846452693
536,162.37344242840635,21.912032728521904,0.04088065807560057
537,162.37344242840635,21.862032728521903,0.040711420351064995
538,162.37344242840635,21.812032728521903,0.04054281176305186
539,162.37344242840635,21.762032728521902,0.040374828809873656
540,162.37344242840635,21.712032728521905,0.0402074680157813
541,162.37344242840635,21.662032728521904,0.040040725930724407
542,162.37344242840635,21.612032728521903,0.039874599130114215
543,162.37344242840635,21.562032728521903,0.03970908421458914
544,162.37344242840635,21.512032728521902,0.03954417780978291
545,162.37344242840635,21.462032728521905,0.03937987656609524
546,162.37344242840635,21.412032728521904,0.039216177158465024
547,162.37344242840635,21.362032728521903,0.03905307628614608
548,162.37344242840635,21.312032728521903,0.03889057067248523
549,162.37344242840635,21.262032728521902,0.038728657064702916
550,162.37344242840635,21.212032728521905,0.03856733223367619
551,162.37344242840635,21.162032728521904,0.038406592973723966
552,162.37344242840635,21.112032728521903,0.038246436102394754
553,162.37344242840635,21.062032728521903,0.038086858460256605
554,162.37344242840635,21.012032728521902,0.03792785691068935
555,162.37344242840635,20.962032728521905,0.037769428339679105
556,162.37344242840635,20.912032728521904,0.037611569655614935
557,162.37344242840635,20.862032728521903,0.037454277789087796
558,162.37344242840635,20.812032728521903,0.037297549692691584
559,162.37344242840635,20.762032728521902,0.0371413823408263
560,162.37344242840635,20.712032728521905,0.0369857727295034
561,501.09115892695417,122.27734767808626,0.21796318659195413
562,501.09115892695417,122.22734767808626,0.21748638376883675
563,501.09115892695417,122.17734767808625,0.21701127473905196
564,546.0466568814215,135.61399706442643,0.2404503494050114
565,546.0466568814215,135.56399706442645,0.2399362779901353
566,546.0466568814215,135.51399706442643,0.2394240230820255
567,546.0466568814215,135.46399706442645,0.2389135750695352
568,546.0466568814215,135.41399706442644,0.23840492440920147
569,546.0466568814215,135.36399706442643,0.23789806162465102
570,546.0466568814215,135.31399706442645,0.2373929773060113
571,546.0466568814215,135.26399706442643,0.23688966210932824
572,546.0466568814215,135.21399706442645,0.23638810675599028
573,546.0466568814215,135.16399706442644,0.23588830203215783
574,546.0466568814215,135.11399706442643,0.23539023878819934
575,546.0466568814215,135.06399706442645,0.23489390793813295
576,546.0466568814215,135.01399706442643,0.23439930045907367
577,546.0466568814215,134.96399706442645,0.23390640739068708
578,546.0466568814215,134.91399706442644,0.23341521983464783
579,546.0466568814215,134.86399706442643,0.23292572895410438
580,546.0466568814215,134.81399706442645,0.23243792597314905
581,546.0466568814215,134.76399706442643,0.23195180217629335
582,546.0466568814215,134.71399706442645,0.23146734890794923
583,546.0466568814215,134.66399706442644,0.230984557571915
584,546.0466568814215,134.61399706442643,0.23050341963086718
585,546.0466568814215,134.56399706442645,0.23002392660585716
586,546.0466568814215,134.51399706442643,0.229546070075813
587,546.0466568814215,134.46399706442645,0.22906984167704678
588,546.0466568814215,134.41399706442644,0.22859523310276605
589,546.0466568814215,134.36399706442643,0.22812223610259155
590,546.0466568814215,134.31399706442645,0.22765084248207873
591,546.0466568814215,134.26399706442643,0.22718104410224438
592,546.0466568814215,134.21399706442645,0.22671283287909874
593,546.0466568814215,134.16399706442644,0.22624620078318117
594,546.0466568814215,134.11399706442643,0.22578113983910172
595,546.0466568814215,134.06399706442645,0.22531764212508645
596,546.0466568814215,134.01399706442643,0.22485569977252756
597,546.0466568814215,133.96399706442645,0.22439530496553844
598,546.0466568814215,133.91399706442644,0.22393644994051243
599,546.0466568814215,133.86399706442643,0.22347912698568687
600,546.0466568814215,133.81399706442645,0.22302332844071074
601,546.0466568814215,133.76399706442643,0.22256904669621702
602,546.0466568814215,133.71399706442645,0.2221162741933994
